Date,Price
2018-05-04,0.005552
2018-05-05,0.005260
2018-05-06,0.005191
2018-05-07,0.004992
2018-05-08,0.004917
2018-05-09,0.005262
2018-05-10,0.005006
2018-05-11,0.004768
2018-05-12,0.004292
2018-05-13,0.004277
2018-05-14,0.004498
2018-05-15,0.004520
2018-05-16,0.004575
2018-05-17,0.004438
2018-05-18,0.004158
2018-05-19,0.004227
2018-05-20,0.004182
2018-05-21,0.004549
2018-05-22,0.004234
2018-05-23,0.003824
2018-05-24,0.003564
2018-05-25,0.003557
2018-05-26,0.003480
2018-05-27,0.003443
2018-05-28,0.003404
2018-05-29,0.003190
2018-05-30,0.003427
2018-05-31,0.003406
2018-06-01,0.003408
2018-06-02,0.003420
2018-06-03,0.003558
2018-06-04,0.003658
2018-06-05,0.003548
2018-06-06,0.003657
2018-06-07,0.003681
2018-06-08,0.003740
2018-06-09,0.003665
2018-06-10,0.003623
2018-06-11,0.003162
2018-06-12,0.003175
2018-06-13,0.003042
2018-06-14,0.002737
2018-06-15,0.002947
2018-06-16,0.002925
2018-06-17,0.002911
2018-06-18,0.002893
2018-06-19,0.003004
2018-06-20,0.002989
2018-06-21,0.002995
2018-06-22,0.002938
2018-06-23,0.002612
2018-06-24,0.002623
2018-06-25,0.002519
2018-06-26,0.002534
2018-06-27,0.002464
2018-06-28,0.002474
2018-06-29,0.002320
2018-06-30,0.002310
2018-07-01,0.002514
2018-07-02,0.002511
2018-07-03,0.002729
2018-07-04,0.002649
2018-07-05,0.002710
2018-07-06,0.002577
2018-07-07,0.002606
2018-07-08,0.002562
2018-07-09,0.002659
2018-07-10,0.002643
2018-07-11,0.002422
2018-07-12,0.002411
2018-07-13,0.002277
2018-07-14,0.002343
2018-07-15,0.002336
2018-07-16,0.002393
2018-07-17,0.002810
2018-07-18,0.003251
2018-07-19,0.003665
2018-07-20,0.003789
2018-07-21,0.003407
2018-07-22,0.003540
2018-07-23,0.003512
2018-07-24,0.003436
2018-07-25,0.003567
2018-07-26,0.003586
2018-07-27,0.003379
2018-07-28,0.003429
2018-07-29,0.003413
2018-07-30,0.003296
2018-07-31,0.003268
2018-08-01,0.002998
2018-08-02,0.003067
2018-08-03,0.002979
2018-08-04,0.002939
2018-08-05,0.002822
2018-08-06,0.002846
2018-08-07,0.002784
2018-08-08,0.002668
2018-08-09,0.002427
2018-08-10,0.002585
2018-08-11,0.002408
2018-08-12,0.002400
2018-08-13,0.002395
2018-08-14,0.002339
2018-08-15,0.002262
2018-08-16,0.002319
2018-08-17,0.002281
2018-08-18,0.002502
2018-08-19,0.002393
2018-08-20,0.002476
2018-08-21,0.002363
2018-08-22,0.002421
2018-08-23,0.002310
2018-08-24,0.002369
2018-08-25,0.002437
2018-08-26,0.002415
2018-08-27,0.002414
2018-08-28,0.002470
2018-08-29,0.002647
2018-08-30,0.002607
2018-08-31,0.003197
2018-09-01,0.004845
2018-09-02,0.006328
2018-09-03,0.005011
2018-09-04,0.005279
2018-09-05,0.005306
2018-09-06,0.004900
2018-09-07,0.005001
2018-09-08,0.005275
2018-09-09,0.005692
2018-09-10,0.005844
2018-09-11,0.006882
2018-09-12,0.006311
2018-09-13,0.006465
2018-09-14,0.006538
2018-09-15,0.006179
2018-09-16,0.006243
2018-09-17,0.006561
2018-09-18,0.006253
2018-09-19,0.005959
2018-09-20,0.005611
2018-09-21,0.005694
2018-09-22,0.005700
2018-09-23,0.005775
2018-09-24,0.005930
2018-09-25,0.005698
2018-09-26,0.005732
2018-09-27,0.005749
2018-09-28,0.005903
2018-09-29,0.005837
2018-09-30,0.005891
2018-10-01,0.005911
2018-10-02,0.005946
2018-10-03,0.005819
2018-10-04,0.005738
2018-10-05,0.005656
2018-10-06,0.005672
2018-10-07,0.005572
2018-10-08,0.005616
2018-10-09,0.005629
2018-10-10,0.005648
2018-10-11,0.005605
2018-10-12,0.005025
2018-10-13,0.005286
2018-10-14,0.005253
2018-10-15,0.005249
2018-10-16,0.005217
2018-10-17,0.004994
2018-10-18,0.004585
2018-10-19,0.004394
2018-10-20,0.004523
2018-10-21,0.004540
2018-10-22,0.004487
2018-10-23,0.004359
2018-10-24,0.004127
2018-10-25,0.003876
2018-10-26,0.003689
2018-10-27,0.003993
2018-10-28,0.004176
2018-10-29,0.004023
2018-10-30,0.003806
2018-10-31,0.003872
2018-11-01,0.003775
2018-11-02,0.003767
2018-11-03,0.003785
2018-11-04,0.003754
2018-11-05,0.003725
2018-11-06,0.003610
2018-11-07,0.003663
2018-11-08,0.003610
2018-11-09,0.003375
2018-11-10,0.003136
2018-11-11,0.003293
2018-11-12,0.003166
2018-11-13,0.003063
2018-11-14,0.002945
2018-11-15,0.002710
2018-11-16,0.002804
2018-11-17,0.002775
2018-11-18,0.002643
2018-11-19,0.002643
2018-11-20,0.002425
2018-11-21,0.002293
2018-11-22,0.002450
2018-11-23,0.002386
2018-11-24,0.002376
2018-11-25,0.002233
2018-11-26,0.002220
2018-11-27,0.002112
2018-11-28,0.002092
2018-11-29,0.002253
2018-11-30,0.002259
2018-12-01,0.002190
2018-12-02,0.002254
2018-12-03,0.002235
2018-12-04,0.002179
2018-12-05,0.002221
2018-12-06,0.002212
2018-12-07,0.002122
2018-12-08,0.002135
2018-12-09,0.002151
2018-12-10,0.002115
2018-12-11,0.002105
2018-12-12,0.002072
2018-12-13,0.002096
2018-12-14,0.002098
2018-12-15,0.002072
2018-12-16,0.002121
2018-12-17,0.002128
2018-12-18,0.002553
2018-12-19,0.002569
2018-12-20,0.002693
2018-12-21,0.002711
2018-12-22,0.002490
2018-12-23,0.002508
2018-12-24,0.002573
2018-12-25,0.002563
2018-12-26,0.002429
2018-12-27,0.002470
2018-12-28,0.002356
2018-12-29,0.002438
2018-12-30,0.002407
2018-12-31,0.002406
2019-01-01,0.002360
2019-01-02,0.002419
2019-01-03,0.002421
2019-01-04,0.002360
2019-01-05,0.002327
2019-01-06,0.002323
2019-01-07,0.002326
2019-01-08,0.002285
2019-01-09,0.002258
2019-01-10,0.002273
2019-01-11,0.002157
2019-01-12,0.002133
2019-01-13,0.002155
2019-01-14,0.002114
2019-01-15,0.002179
2019-01-16,0.002102
2019-01-17,0.002154
2019-01-18,0.002112
2019-01-19,0.002113
2019-01-20,0.002171
2019-01-21,0.002097
2019-01-22,0.002088
2019-01-23,0.002085
2019-01-24,0.002064
2019-01-25,0.002063
2019-01-26,0.002063
2019-01-27,0.002064
2019-01-28,0.002037
2019-01-29,0.001952
2019-01-30,0.001922
2019-01-31,0.001972
2019-02-01,0.001935
2019-02-02,0.001926
2019-02-03,0.001941
2019-02-04,0.001923
2019-02-05,0.001913
2019-02-06,0.001902
2019-02-07,0.001823
2019-02-08,0.001854
2019-02-09,0.001939
2019-02-10,0.001936
2019-02-11,0.001924
2019-02-12,0.001897
2019-02-13,0.001889
2019-02-14,0.001892
2019-02-15,0.001883
2019-02-16,0.001907
2019-02-17,0.001933
2019-02-18,0.002009
2019-02-19,0.002112
2019-02-20,0.002056
2019-02-21,0.002062
2019-02-22,0.002017
2019-02-23,0.002055
2019-02-24,0.002074
2019-02-25,0.001973
2019-02-26,0.002027
2019-02-27,0.002015
2019-02-28,0.002022
2019-03-01,0.001972
2019-03-02,0.001990
2019-03-03,0.002007
2019-03-04,0.002029
2019-03-05,0.001989
2019-03-06,0.001970
2019-03-07,0.001978
2019-03-08,0.001980
2019-03-09,0.001975
2019-03-10,0.002006
2019-03-11,0.001979
2019-03-12,0.001956
2019-03-13,0.002003
2019-03-14,0.002027
2019-03-15,0.002032
2019-03-16,0.002036
2019-03-17,0.002073
2019-03-18,0.002063
2019-03-19,0.002079
2019-03-20,0.002069
2019-03-21,0.002060
2019-03-22,0.002051
2019-03-23,0.002053
2019-03-24,0.002045
2019-03-25,0.002042
2019-03-26,0.002029
2019-03-27,0.002051
2019-03-28,0.002076
2019-03-29,0.002067
2019-03-30,0.002110
2019-03-31,0.002111
2019-04-01,0.002125
2019-04-02,0.002482
2019-04-03,0.002845
2019-04-04,0.003175
2019-04-05,0.003720
2019-04-06,0.003605
2019-04-07,0.003436
2019-04-08,0.003437
2019-04-09,0.003062
2019-04-10,0.002907
2019-04-11,0.003023
2019-04-12,0.002799
2019-04-13,0.002859
2019-04-14,0.002902
2019-04-15,0.002924
2019-04-16,0.002832
2019-04-17,0.002872
2019-04-18,0.002809
2019-04-19,0.002969
2019-04-20,0.002890
2019-04-21,0.002921
2019-04-22,0.002778
2019-04-23,0.002847
2019-04-24,0.002812
2019-04-25,0.002618
2019-04-26,0.002535
2019-04-27,0.002548
2019-04-28,0.002564
2019-04-29,0.002541
2019-04-30,0.002476
2019-05-01,0.002531
2019-05-02,0.002541
2019-05-03,0.002611
2019-05-04,0.002723
2019-05-05,0.002736
2019-05-06,0.002711
2019-05-07,0.002616
2019-05-08,0.002617
2019-05-09,0.002608
2019-05-10,0.002574
2019-05-11,0.002564
2019-05-12,0.002789
2019-05-13,0.002721
2019-05-14,0.002790
2019-05-15,0.003100
2019-05-16,0.003326
2019-05-17,0.003202
2019-05-18,0.003055
2019-05-19,0.003130
2019-05-20,0.003342
2019-05-21,0.003180
2019-05-22,0.003248
2019-05-23,0.003097
2019-05-24,0.003123
2019-05-25,0.003165
2019-05-26,0.003201
2019-05-27,0.003274
2019-05-28,0.003323
2019-05-29,0.003356
2019-05-30,0.003413
2019-05-31,0.003395
2019-06-01,0.003578
2019-06-02,0.003626
2019-06-03,0.003614
2019-06-04,0.003438
2019-06-05,0.003216
2019-06-06,0.003325
2019-06-07,0.003349
2019-06-08,0.003348
2019-06-09,0.003345
2019-06-10,0.003256
2019-06-11,0.003394
2019-06-12,0.003336
2019-06-13,0.003395
2019-06-14,0.003379
2019-06-15,0.003409
2019-06-16,0.003384
2019-06-17,0.003363
2019-06-18,0.003193
2019-06-19,0.003331
2019-06-20,0.003166
2019-06-21,0.003366
2019-06-22,0.003247
2019-06-23,0.003279
2019-06-24,0.003491
2019-06-25,0.003554
2019-06-26,0.003363
2019-06-27,0.003448
2019-06-28,0.003336
2019-06-29,0.003452
2019-06-30,0.003414
2019-07-01,0.003222
2019-07-02,0.003246
2019-07-03,0.003188
2019-07-04,0.003414
2019-07-05,0.003286
2019-07-06,0.003844
2019-07-07,0.003534
2019-07-08,0.003606
2019-07-09,0.003593
2019-07-10,0.003542
2019-07-11,0.003400
2019-07-12,0.003235
2019-07-13,0.003323
2019-07-14,0.003251
2019-07-15,0.003013
2019-07-16,0.003075
2019-07-17,0.002827
2019-07-18,0.002876
2019-07-19,0.003113
2019-07-20,0.003020
2019-07-21,0.003094
2019-07-22,0.003054
2019-07-23,0.002963
2019-07-24,0.002847
2019-07-25,0.002878
2019-07-26,0.002889
2019-07-27,0.002891
2019-07-28,0.002797
2019-07-29,0.002813
2019-07-30,0.002860
2019-07-31,0.002860
2019-08-01,0.002959
2019-08-02,0.003021
2019-08-03,0.002941
2019-08-04,0.003021
2019-08-05,0.002928
2019-08-06,0.003139
2019-08-07,0.003058
2019-08-08,0.003069
2019-08-09,0.003075
2019-08-10,0.002955
2019-08-11,0.002985
2019-08-12,0.003031
2019-08-13,0.002998
2019-08-14,0.002910
2019-08-15,0.002773
2019-08-16,0.002620
2019-08-17,0.002702
2019-08-18,0.002706
2019-08-19,0.002769
2019-08-20,0.002778
2019-08-21,0.002812
2019-08-22,0.002725
2019-08-23,0.002711
2019-08-24,0.002681
2019-08-25,0.002642
2019-08-26,0.002648
2019-08-27,0.002653
2019-08-28,0.002627
2019-08-29,0.002529
2019-08-30,0.002435
2019-08-31,0.002473
2019-09-01,0.002499
2019-09-02,0.002472
2019-09-03,0.002592
2019-09-04,0.002582
2019-09-05,0.002529
2019-09-06,0.002513
2019-09-07,0.002480
2019-09-08,0.002481
2019-09-09,0.002481
2019-09-10,0.002450
2019-09-11,0.002423
2019-09-12,0.002404
2019-09-13,0.002406
2019-09-14,0.002414
2019-09-15,0.002444
2019-09-16,0.002438
2019-09-17,0.002443
2019-09-18,0.002594
2019-09-19,0.002712
2019-09-20,0.002697
2019-09-21,0.002667
2019-09-22,0.002580
2019-09-23,0.002577
2019-09-24,0.002475
2019-09-25,0.002222
2019-09-26,0.002186
2019-09-27,0.002134
2019-09-28,0.002193
2019-09-29,0.002226
2019-09-30,0.002208
2019-10-01,0.002381
2019-10-02,0.002369
2019-10-03,0.002333
2019-10-04,0.002308
2019-10-05,0.002297
2019-10-06,0.002311
2019-10-07,0.002266
2019-10-08,0.002364
2019-10-09,0.002315
2019-10-10,0.002367
2019-10-11,0.002313
2019-10-12,0.002298
2019-10-13,0.002322
2019-10-14,0.002443
2019-10-15,0.002542
2019-10-16,0.002498
2019-10-17,0.002604
2019-10-18,0.002753
2019-10-19,0.002699
2019-10-20,0.002740
2019-10-21,0.002716
2019-10-22,0.002681
2019-10-23,0.002543
2019-10-24,0.002481
2019-10-25,0.002525
2019-10-26,0.002667
2019-10-27,0.002613
2019-10-28,0.002650
2019-10-29,0.002631
2019-10-30,0.002640
2019-10-31,0.002610
2019-11-01,0.002586
2019-11-02,0.002605
2019-11-03,0.002590
2019-11-04,0.002601
2019-11-05,0.002590
2019-11-06,0.002599
2019-11-07,0.002617
2019-11-08,0.002714
2019-11-09,0.002656
2019-11-10,0.002709
2019-11-11,0.002760
2019-11-12,0.002710
2019-11-13,0.002711
2019-11-14,0.002690
2019-11-15,0.002665
2019-11-16,0.002655
2019-11-17,0.002658
2019-11-18,0.002634
2019-11-19,0.002542
2019-11-20,0.002523
2019-11-21,0.002528
2019-11-22,0.002413
2019-11-23,0.002355
2019-11-24,0.002391
2019-11-25,0.002261
2019-11-26,0.002259
2019-11-27,0.002275
2019-11-28,0.002322
2019-11-29,0.002305
2019-11-30,0.002348
2019-12-01,0.002303
2019-12-02,0.002280
2019-12-03,0.002228
2019-12-04,0.002188
2019-12-05,0.002203
2019-12-06,0.002200
2019-12-07,0.002217
2019-12-08,0.002186
2019-12-09,0.002191
2019-12-10,0.002164
2019-12-11,0.002150
2019-12-12,0.002137
2019-12-13,0.002139
2019-12-14,0.002139
